Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65,Topic 66,Topic 67,Topic 68,Topic 69,Topic 70,Topic 71,Topic 72,Topic 73,Topic 74,Topic 75,Topic 76,Topic 77,Topic 78,Topic 79,Topic 80,Topic 81,Topic 82,Topic 83,Topic 84,Topic 85,Topic 86,Topic 87,Topic 88,Topic 89,Topic 90,Topic 91,Topic 92,Topic 93,Topic 94,Topic 95,Topic 96,Topic 97,Topic 98,Topic 99,Topic 100,Topic 101,Topic 102,Topic 103,Topic 104,Topic 105,Topic 106,Topic 107,Topic 108,Topic 109,Topic 110,Topic 111,Topic 112,Topic 113,Topic 114,Topic 115,Topic 116,Topic 117,Topic 118,Topic 119,Topic 120,Topic 121,Topic 122,Topic 123,Topic 124,Topic 125,Topic 126,Topic 127,Topic 128,Topic 129,Topic 130,Topic 131,Topic 132,Topic 133,Topic 134,Topic 135,Topic 136,Topic 137,Topic 138,Topic 139,Topic 140,Topic 141,Topic 142,Topic 143,Topic 144,Topic 145,Topic 146,Topic 147,Topic 148,Topic 149,Topic 150,Topic 151,Topic 152,Topic 153,Topic 154,Topic 155,Topic 156,Topic 157,Topic 158,Topic 159,Topic 160,Topic 161,Topic 162,Topic 163,Topic 164,Topic 165,Topic 166,Topic 167,Topic 168,Topic 169,Topic 170,Topic 171,Topic 172,Topic 173,Topic 174,Topic 175,Topic 176,Topic 177,Topic 178,Topic 179,Topic 180,Topic 181,Topic 182,Topic 183,Topic 184,Topic 185,Topic 186,Topic 187,Topic 188,Topic 189,Topic 190,Topic 191,Topic 192,Topic 193,Topic 194,Topic 195,Topic 196,Topic 197,Topic 198,Topic 199,Topic 200,Topic 201,Topic 202,Topic 203,Topic 204,Topic 205,Topic 206,Topic 207,Topic 208,Topic 209,Topic 210,Topic 211,Topic 212,Topic 213,Topic 214,Topic 215,Topic 216,Topic 217,Topic 218,Topic 219,Topic 220,Topic 221,Topic 222,Topic 223,Topic 224,Topic 225,Topic 226,Topic 227,Topic 228,Topic 229,Topic 230,Topic 231,Topic 232,Topic 233,Topic 234,Topic 235,Topic 236,Topic 237,Topic 238,Topic 239,Topic 240,Topic 241,Topic 242,Topic 243,Topic 244,Topic 245,Topic 246,Topic 247,Topic 248,Topic 249,Topic 250,Topic 251,Topic 252,Topic 253,Topic 254,Topic 255,Topic 256,Topic 257,Topic 258,Topic 259,Topic 260,Topic 261,Topic 262,Topic 263,Topic 264,Topic 265,Topic 266,Topic 267,Topic 268,Topic 269,Topic 270,Topic 271,Topic 272,Topic 273,Topic 274,Topic 275,Topic 276,Topic 277,Topic 278,Topic 279,Topic 280,Topic 281,Topic 282,Topic 283,Topic 284,Topic 285,Topic 286,Topic 287,Topic 288,Topic 289,Topic 290,Topic 291,Topic 292,Topic 293,Topic 294,Topic 295,Topic 296,Topic 297,Topic 298,Topic 299,Topic 300,Topic 301,Topic 302,Topic 303,Topic 304,Topic 305,Topic 306,Topic 307,Topic 308,Topic 309,Topic 310,Topic 311,Topic 312,Topic 313,Topic 314,Topic 315
AKR1C1,TMPRSS11B,,CYP3A7,PRSS21,CA6,,,SLC15A1,LDOC1,BHMT2,,PLG,,AL162431.1,HOGA1,CIDEB,OSR2,,DMKN,,CPA1,,,,,,,LGR5,ATP1A4,,NXPH1,,CACNG6,,,CD55,,PLIN2,,,,,,STXBP6,,KIF12,CDKN2A,SFN,,,TM6SF2,,AHCYL2,AMY2A,ASRGL1,TRIM16,SLC14A1,,APOA5,,,IL37,AKR1D1,FOLR1,,CAPN8,AP001362.1,,PNCK,,OR51E1,ICAM1,,CDH16,,,TRPV6,IL27,CELF3,,TCF24,,GJB1,,KLK7,,CCL19,NUAK2,,,,EFHD1,,,,,,EPO,,,,,,,CALML3,,,MTRNR2L9,,PPL,PTGES,CYP2J2,,,,ZFP57,,,MYT1L,,,IL1A,BPIFB1,ASGR2,CHST4,,,RNASE7,,SCXA,CYP26A1,CASP5,,,GALNT15,,,,,,BTNL9,,,,,PEX5L,,,,,,,,,,CACNA2D2,MYOZ1,,,,,,,,MRC1,,,,,,,,,,,,CDH17,PDCL2,,,,,RP11-598P20.5,,,,,,,,,,,,,,CKMT1A,,,,CNFN,,,,,,,,,,NSG2,,,,,,,,,,,,,,,,,VSIG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCD,SPINK7,,AMDHD1,RSPH1,,,,TUBB4A,STEAP2,QPRT,,ITIH1,,KRT25,TBX15,ABCC3,CST1,,FMOD,,LIPH,,,,,,,CLEC4E,FCRLB,,C5orf52,,AKAP14,,,HLA-DRB5,,HRSP12,,,,,,MYRF,,GNG4,MMP9,JUP,,,UNC5CL,,FGL2,HIST1H4K,PROM1,DSG2,MAPT,,SLC25A47,,,UNC45B,INHBC,LAMP3,,,GGTLC3,,AURKB,,HCAR1,ELN,,FAM155B,,,BMPR1B,FGF19,TMEM151A,,SSX2,,ALDH1L1,,,,PSAT1,PCSK9,,,,MEST,,,,,,SLC22A11,,,,,,,SBSN,,,PRSS1,,KLF5,GNA15,FAM134B,,,,,,,SPAG11A,,,CD164L2,PRUNE2,MASP2,,,,RAET1G,,TMEM108,HEPACAM,NDUFC2-KCTD14,,,TMEM200A,,,,,,ECM2,,,,,CYP4F31P,,,,,,,,,,CRTAC1,FPR2,,,,,,,,GTSF1,,,,,,,,,,,,GPA33,NXPH2,,,,,FAM183A,,,,,,,,,,,,,,MUC4,,,,KRT6B,,,,,,,,,,MAGEA9,,,,,,,,,,,,,,,,,LCN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERPINF2,SERPINB13,,ALDH8A1,SLC6A14,,,,CPLX2,TBX3,ACOX2,,APOC4-APOC2,,RP11-362K2.2,PFKFB1,GPT2,MME,,EPS8L1,,ADTRP,,,,,,,IL17B,MAGEA2,,EEF1E1-BLOC1S5,,CDC20B,,,DARC,,CFI,,,,,,ANGPTL1,,ACSS3,CDK1,SMTN,,,,,BMP4,HIST1H2AL,WFDC1,RARG,CLDN8,,UGT1A8,,,MYLK2,RTP3,NRGN,,,C1orf189,,ETV4,,GLB1L3,AKR1B1,,ARHGAP36,,,SLC30A4,ASB4,ALPP,,HTR1E,,DGAT2,,,,ENTPD5,GBP5,,,,PEG10,,,,,,CYP3A43,,,,,,,MUC21,,,APOBR,,NDUFA4L2,SOX15,EPB41L4B,,,,,,,,,,CPA4,HSD11B2,C6,,,,STAR,,NXPH4,FSIP1,CR2,,,IGSF10,,,,,,CLMP,,,,,NRAP,,,,,,,,,,,CCL17,,,,,,,,,,,,,,,,,,,,GHRL,,,,,,SATB2,,,,,,,,,,,,,,PVRL4,,,,LGALS7B,,,,,,,,,,,,,,,,,,,,,,,,,,,LOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKR1C2,GBP6,,SLC25A15,KCNK3,,,,BAI1,SEMA3C,MFSD2A,,AGXT,,GTSCR1,KLB,AHNAK2,INMT,,F3,,CEL,,,,,,,EFNB3,MAGEA1,,SCRT1,,ZMAT4,,,EFEMP1,,GOT1,,,,,,HES6,,NOTUM,MX2,CLDN4,,,,,VILL,CELA2B,SPOCK1,BAIAP2L1,PPM1H,,C8A,,,ZNF541,,,,,C1orf87,,FUT2,,TMEM132C,TNC,,MTRNR2L2,,,CARTPT,AL117190.2,LIX1,,SPANXB1,,PPP1R1A,,,,ESPN,TMEM171,,,,RASD1,,,,,,FAM163B,,,,,,,KLK13,,,CCL11,,UBE2C,AQP5,GSTT2,,,,,,,,,,GPR115,LPP,HSD17B13,,,,TAC4,,BHLHA15,,,,,DPP6,,,,,,CDH13,,,,,BTN1A1,,,,,,,,,,,CT45A3,,,,,,,,,,,,,,,,,,,,VSIG1,,,,,,TMEM163,,,,,,,,,,,,,,,,,,LYPD3,,,,,,,,,,,,,,,,,,,,,,,,,,,PNLIPRP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSD17B6,CAPN14,,GLDC,SCG2,,,,,FAM198B,MLXIPL,,CFHR1,,,CETP,MARC2,STC2,,CX3CL1,,CAPN13,,,,,,,SLC6A4,WFIKKN2,,,,RP11-463D19.2,,,C8orf4,,ASL,,,,,,MET,,FNDC5,MYH3,CLDN7,,,,,HIF3A,,AIF1L,RAPGEFL1,SLC15A2,,SERPINA7,,,SLC1A6,,,,,AZU1,,CDCA7,,NRIP3,PDLIM5,,FAM19A3,,,CD300LG,KRT39,SLC6A3,,ZPLD1,,CDO1,,,,BCHE,HSPA6,,,,ALPL,,,,,,IDO2,,,,,,,SCEL,,,ZDHHC11B,,ERO1L,SDR16C5,GYG2,,,,,,,,,,TPRXL,PLN,PLGLB2,,,,TAS1R1,,UPK1B,,,,,RIMS4,,,,,,,,,,,,,,,,,,,,,,IGLON5,,,,,,,,,,,,,,,,,,,,SULT1C2,,,,,,CTTNBP2,,,,,,,,,,,,,,,,,,S100A7,,,,,,,,,,,,,,,,,,,,,,,,,,,FAM27C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKR1C3,VSIG10L,,RP5-966M1.6,GDF10,,,,,ASPN,PIPOX,,SAA4,,,,MZB1,CA12,,AMACR,,MFSD4,,,,,,,AC018816.3,,,,,AP000349.1,,,HSPB8,,INSIG1,,,,,,BEX1,,TMEM86B,TNNI1,MFGE8,,,,,KCNQ1,,MIA,EPHA2,ADAMTS8,,ANGPTL3,,,LMX1A,,,,,AGRP,,FOXF2,,NAT8L,COL12A1,,TDRD12,,,KIAA1467,,PRSS56,,ST8SIA3,,F5,,,,FGFR4,RSAD2,,,,TNNC1,,,,,,ANKFN1,,,,,,,TGM1,,,CCL24,,DGKA,CST6,PLA1A,,,,,,,,,,ART3,PSD,C5,,,,,,SRPK3,,,,,,,,,,,,,,,,,,,,,,,,,,,SH3GL3,,,,,,,,,,,,,,,,,,,,TCF21,,,,,,LAMP5,,,,,,,,,,,,,,,,,,PKP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATM,ADH7,,TMEM27,AARD,,,,,PCOLCE2,HSD17B2,,F2,,,,ACADSB,PDE9A,,PFKFB3,,MMP3,,,,,,,PNMT,,,,,,,,CLEC3B,,PCK2,,,,,,TPRG1,,DTX1,NNAT,PERP,,,,,ATP1A2,,TCEAL2,IL8,COCH,,CREB3L3,,,MAGEA8,,,,,TNFSF18,,FOXQ1,,RLN2,ST14,,,,,SPOCK3,,AL158147.2,,MARCH4,,SEC14L2,,,,ESRP2,RAD51AP1,,,,TNNC2,,,,,,UGT2A1,,,,,,,NCCRP1,,,CELA3A,,UPP1,NSG1,SLC19A3,,,,,,,,,,EN1,COL4A5,KLKB1,,,,,,HTR2B,,,,,,,,,,,,,,,,,,,,,,,,,,,CT45A1,,,,,,,,,,,,,,,,,,,,LRRC19,,,,,,RET,,,,,,,,,,,,,,,,,,DAPL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI3L1,TMPRSS11D,,,COL11A2,,,,,TMOD1,ALDH6A1,,MAT1A,,,,TJP3,THBS2,,PIK3R1,,CADM3,,,,,,,HMGA2,,,,,,,,ATF3,,ALAS1,,,,,,NGFR,,TBC1D10C,APLP1,SERPINB1,,,,,POPDC2,,COLEC12,DSC2,TMEM178A,,BAAT,,,AF165138.7,,,,,NXF2B,,ANKRD22,,CBLN2,SCNN1A,,,,,LGALS12,,KRT40,,PAX3,,FMO5,,,,ETNK2,SMIM6,,,,PRRX1,,,,,,C21orf37,,,,,,,PRSS27,,,,,PTTG1,BMP7,,,,,,,,,,,C6orf15,SLC26A2,DMGDH,,,,,,SIRPB1,,,,,,,,,,,,,,,,,,,,,,,,,,,SEZ6,,,,,,,,,,,,,,,,,,,,,,,,,,TDRD10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD14,DIO2,,,PAX6,,,,,AKAP12,ACSM3,,APOC4,,,,STEAP3,GMPR,,NEDD4L,,SCN7A,,,,,,,FAM167A,,,,,,,,CCDC80,,MSMO1,,,,,,SAMD11,,KMO,MYL4,SRGN,,,,,ADAM28,,VAV3,PROM2,MEOX1,,CYP2B6,,,PRKAG3,,,,,KRTAP3-1,,MKI67,,INA,COL5A1,,,,,SLC38A11,,PIWIL1,,ANKRD33,,SLC27A2,,,,FGGY,HIST1H3H,,,,TFPI2,,,,,,HSD3B1,,,,,,,LGALS7,,,,,SDCBP2,MYEOV,,,,,,,,,,,CDK5R2,DNAJB5,,,,,,,HSPB3,,,,,,,,,,,,,,,,,,,,,,,,,,,RP11-169F17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP27A1,SPRR2B,,,HIST1H2BE,,,,,SEZ6L2,FGFR2,,CYP4A11,,,,DNALI1,TMEM125,,ABI3BP,,RASAL1,,,,,,,COL9A1,,,,,,,,DPT,,BDH1,,,,,,IFI44L,,SCG5,GRPEL2,SYNM,,,,,PRIMA1,,F13A1,PDPN,OXTR,,SPP2,,,,,,,,XIRP2,,FCN1,,TMC3,PLAT,,,,,NKAIN1,,GOLGA6L9,,INSL6,,C2orf72,,,,IFIT1,ALOX12,,,,BEX2,,,,,,,,,,,,,C9orf169,,,,,TOP2A,HCAR2,,,,,,,,,,,,TSPAN2,,,,,,,HIST1H2BH,,,,,,,,,,,,,,,,,,,,,,,,,,,KEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MST1,IGFL1,,,HIST1H2BB,,,,,MUSTN1,SLC43A1,,TFR2,,,,TTC39C,CITED4,,SLC2A3,,EPHA7,,,,,,,SLAMF6,,,,,,,,RGCC,,ACY1,,,,,,IL1R2,,PPP1R3G,RASL11B,FAM129B,,,,,HIST2H2BF,,OLFML2B,PRSS22,PEG3,,LECT2,,,,,,,,SLC4A10,,AIFM3,,,TRPM4,,,,,CCL3L1,,TNP1,,NAA11,,COLEC11,,,,FST,HIST2H2AC,,,,BAMBI,,,,,,,,,,,,,ANXA8L2,,,,,SLC7A5,OVOL1,,,,,,,,,,,,KCNMB1,,,,,,,COL4A3,,,,,,,,,,,,,,,,,,,,,,,,,,,XIRP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOX1,,,,,,,,,ABCA8,LIME1,,TDO2,,,,PTGIS,SLCO2A1,,SMAGP,,HIST1H1E,,,,,,,PCSK2,,,,,,,,TNXB,,PHYH,,,,,,KCTD14,,,RYR1,PDLIM3,,,,,,,PCSK1N,GSDMB,CTD-2207O23.12,,ADH6,,,,,,,,RP11-766F14.2,,,,,C2orf40,,,,,PROK1,,,,AL590235.1,,SARDH,,,,PCSK6,BEND3,,,,MAGED4B,,,,,,,,,,,,,SERPINB2,,,,,ARHGAP27,PRX,,,,,,,,,,,,DACT3,,,,,,,LY6H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSD11B1,,,,,,,,,ANKRD29,TMEM45A,,ACSM2B,,,,IL18,CPM,,IL33,,HIST1H2AH,,,,,,,PCDH19,,,,,,,,FBLN5,,MTHFD1,,,,,,DOK2,,,KLHL41,LMOD1,,,,,,,GSTM5,DHRS11,CNTNAP2,,CPN1,,,,,,,,AL049829.1,,,,,SULF1,,,,,CPNE6,,,,CLEC2A,,,,,,LDHD,HIST1H4C,,,,CPXM1,,,,,,,,,,,,,KRTDAP,,,,,CDC20,,,,,,,,,,,,,ASB2,,,,,,,FZD10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAMT,,,,,,,,,CNTFR,CCL15-CCL14,,PROC,,,,TGFBR3,RERG,,S100B,,HIST3H2BB,,,,,,,KLHDC7A,,,,,,,,TPPP3,,SCARB1,,,,,,CLEC7A,,,MYL3,FCER1G,,,,,,,MYZAP,HBEGF,CA8,,CYP1A1,,,,,,,,HBZ,,,,,TMEM101,,,,,AQP2,,,,NLRP4,,,,,,OLFM2,HIST1H4D,,,,SNAI2,,,,,,,,,,,,,RAET1L,,,,,TACC3,,,,,,,,,,,,,RP11-122A3.2,,,,,,,ICAM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REEP6,,,,,,,,,,FAM20A,,BHMT,,,,LPIN2,SEPT5,,NCAPD3,,HIST1H1B,,,,,,,ROPN1L,,,,,,,,AOC3,,MTHFS,,,,,,FAM150B,,,MYOT,HLA-DMA,,,,,,,PAMR1,SPNS2,PMEL,,GCKR,,,,,,,,RP11-512M8.5,,,,,GRB7,,,,,TMEM114,,,,NCAN,,,,,,HIST1H4J,HIST1H4B,,,,TUBB2B,,,,,,,,,,,,,PLEKHN1,,,,,RCAN2,,,,,,,,,,,,,,,,,,,,FBN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOM,,,,,,,,,,CD302,,CYP2D6,,,,NT5E,NOSTRIN,,COL14A1,,OLAH,,,,,,,SLC7A10,,,,,,,,ACP5,,TSKU,,,,,,SYT8,,,ATP2A1,HLA-DQA1,,,,,,,CAPN6,PHLDA2,HRASLS,,CRYAA,,,,,,,,SLC7A14,,,,,SPEG,,,,,,,,,KCNU1,,,,,,FNDC4,TTN,,,,SUSD3,,,,,,,,,,,,,,,,,,KIAA0101,,,,,,,,,,,,,,,,,,,,PPBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOL1,,,,,,,,,,SLC51A,,AKR1C4,,,,PLS1,IL6,,DNAJA4,,HIST1H2BL,,,,,,,GRIA2,,,,,,,,LMO7,,SHMT1,,,,,,HOOK1,,,MYH7B,HLA-DQB1,,,,,,,NPR1,C6orf132,CHODL,,PROZ,,,,,,,,RP11-389E17.1,,,,,COL5A2,,,,,,,,,SBP1,,,,,,SDSL,HIST1H3A,,,,ZBTB18,,,,,,,,,,,,,,,,,,MYBL2,,,,,,,,,,,,,,,,,,,,PHACTR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPGD,,,,,,,,,,TMEM37,,ACSM2A,,,,NCALD,GATA2,,LST1,,HIST1H2BI,,,,,,,KREMEN2,,,,,,,,HLA-DMB,,PC,,,,,,SLC29A4,,,TCAP,SYNPO2,,,,,,,CILP,AIM1,GPR64,,CA5A,,,,,,,,,,,,,FBN1,,,,,,,,,FCRL4,,,,,,DHODH,,,,,FAM69B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FGF18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHK,,,,,,,,,,HYAL1,,SERPINA10,,,,BIRC3,PPARG,,PALMD,,HIST1H2AJ,,,,,,,INHA,,,,,,,,SORBS2,,ALDH4A1,,,,,,WNT4,,,HRC,PDZK1IP1,,,,,,,PADI2,RRM2,TMEM145,,NPC1L1,,,,,,,,,,,,,HTRA3,,,,,,,,,GAD2,,,,,,SLC47A1,,,,,TNNT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NKAIN4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRF1,,,,,,,,,,PAPSS2,,LEAP2,,,,CD79A,VIPR1,,PALM,,HIST1H3B,,,,,,,CASQ1,,,,,,,,LPCAT1,,PXMP2,,,,,,AGPAT9,,,LRRC39,IFI16,,,,,,,DUSP4,PIM2,SLC30A2,,GLTPD2,,,,,,,,,,,,,RAC2,,,,,,,,,MYH13,,,,,,LTB,,,,,MSX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEMD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFPI,,,,,,,,,,RBPMS2,,SLC38A4,,,,CD48,TBC1D9,,ITIH5,,HIST2H2AB,,,,,,,AP001579.1,,,,,,,,OLFML3,,SLC22A18,,,,,,C9orf24,,,C10orf71,RGS5,,,,,,,KIT,MXD1,LMOD3,,,,,,,,,,,,,,,RBP7,,,,,,,,,DEFB123,,,,,,PTH1R,,,,,EMID1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLX6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GGT1,,,,,,,,,,RCL1,,CFHR3,,,,NCAM1,HOXA10,,ANKRD37,,HIST1H2AB,,,,,,,MYBPC2,,,,,,,,MPZL2,,GSTZ1,,,,,,FZD8,,,FSD2,GJA1,,,,,,,GALNT6,GABRE,DCDC2B,,,,,,,,,,,,,,,STEAP1,,,,,,,,,,,,,,,HRCT1,,,,,TNNI2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCNA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGDH,,,,,,,,,,GLS2,,ABCB4,,,,HMGN5,CHIT1,,AP001816.1,,HIST1H2BM,,,,,,,C10orf112,,,,,,,,SLC15A3,,PROS1,,,,,,NR4A3,,,,DPYSL3,,,,,,,TCN1,ANO9,,,,,,,,,,,,,,,,VCAN,,,,,,,,,,,,,,,BMP2,,,,,MSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCSTAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
